년월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,경유지공항,도착_출발,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),항공화물(kg),환적화물(kg),우편물(kg),수하물(kg)
Jan-22,AAR,OZ,아시아나항공,국제,BKK,출발,정기,여객,653,5,307,304129,91512,0,21040
Jan-22,AAR,OZ,아시아나항공,국제,BKK,출발,부정기,화물,0,0,0,28359,7435,0,0
Jan-22,AAR,OZ,아시아나항공,국제,BLR,도착,부정기,여객,108,0,0,0,0,0,1188
Jan-22,AAR,OZ,아시아나항공,국제,BLR,출발,부정기,여객,97,1,0,1453,0,0,6070
Jan-22,AAR,OZ,아시아나항공,국제,BRU,도착,정기,화물,0,0,0,924174,111641,0,0
Jan-22,AAR,OZ,아시아나항공,국제,BRU,출발,정기,화물,0,0,0,927,0,0,0
Jan-22,AAR,OZ,아시아나항공,국제,CAN,도착,정기,화물,0,0,0,712129,543172,11071,0
Jan-22,AAR,OZ,아시아나항공,국제,CAN,도착,부정기,화물,0,0,0,266547,231341,2726,0
Jan-22,AAR,OZ,아시아나항공,국제,CAN,도착,부정기,여객,46,0,0,0,0,0,2210
Jan-22,AAR,OZ,아시아나항공,국제,CAN,출발,부정기,여객,150,0,0,0,0,0,5109
Jan-22,AAR,OZ,아시아나항공,국제,CGK,도착,정기,여객,1192,2,26,115700,51060,12542,25956
Jan-22,AAR,OZ,아시아나항공,국제,CGK,도착,부정기,화물,0,0,0,10080,1639,986,0
Jan-22,AAR,OZ,아시아나항공,국제,CGK,출발,정기,여객,1237,4,81,154002,35151,0,53879
Jan-22,AAR,OZ,아시아나항공,국제,CGK,출발,부정기,화물,0,0,0,55873,13869,0,0
Jan-22,AAR,OZ,아시아나항공,국제,CGQ,도착,정기,여객,471,3,79,0,0,0,11933
Jan-22,AAR,OZ,아시아나항공,국제,CGQ,출발,정기,여객,1326,9,0,0,0,0,31011
Jan-22,AAR,OZ,아시아나항공,국제,CKG,도착,정기,화물,0,0,0,56264,28269,0,0
Jan-22,AAR,OZ,아시아나항공,국제,CTU,도착,정기,여객,232,0,241,634,12,605,14148
Jan-22,AAR,OZ,아시아나항공,국제,CTU,출발,정기,여객,365,3,2,106,0,0,10921
Jan-22,AAR,OZ,아시아나항공,국제,CXR,도착,부정기,여객,4,0,0,0,0,0,271
Jan-22,AAR,OZ,아시아나항공,국제,CXR,출발,부정기,여객,44,0,39,102,0,0,2063
Jan-22,AAR,OZ,아시아나항공,국제,DEL,도착,부정기,여객,318,1,0,0,0,0,8790
Jan-22,AAR,OZ,아시아나항공,국제,DEL,출발,부정기,여객,322,0,0,14179,0,0,14526
Jan-22,AAR,OZ,아시아나항공,국제,DFW,출발,정기,화물,0,0,0,769523,492966,0,0
Jan-22,AAR,OZ,아시아나항공,국제,DME,출발,정기,화물,0,0,0,203222,111743,0,0
Jan-22,AAR,OZ,아시아나항공,국제,FRA,도착,정기,화물,0,0,0,2185855,221325,0,0
Jan-22,AAR,OZ,아시아나항공,국제,FRA,도착,정기,여객,947,16,56,417069,58148,0,28828
Jan-22,AAR,OZ,아시아나항공,국제,FRA,도착,부정기,화물,0,0,0,291059,14403,0,0
Jan-22,AAR,OZ,아시아나항공,국제,FRA,출발,정기,화물,0,0,0,776100,484849,3917,0
Jan-22,AAR,OZ,아시아나항공,국제,FRA,출발,정기,여객,1416,24,62,228313,113906,6518,45264
Jan-22,AAR,OZ,아시아나항공,국제,FRA,출발,부정기,화물,0,0,0,178320,121069,2015,0
Jan-22,AAR,OZ,아시아나항공,국제,FUK,도착,정기,여객,205,8,83,2894,1447,0,6821
Jan-22,AAR,OZ,아시아나항공,국제,FUK,출발,정기,여객,230,8,117,604,0,0,7707
Jan-22,AAR,OZ,아시아나항공,국제,HAN,도착,정기,화물,0,0,0,1500788,647757,0,0
Jan-22,AAR,OZ,아시아나항공,국제,HAN,도착,정기,여객,3207,21,290,193440,47142,0,99206
Jan-22,AAR,OZ,아시아나항공,국제,HAN,도착,부정기,화물,0,0,0,345033,241750,1783,0
Jan-22,AAR,OZ,아시아나항공,국제,HAN,출발,정기,화물,0,0,0,3275795,789500,3042,0
Jan-22,AAR,OZ,아시아나항공,국제,HAN,출발,정기,여객,1301,6,224,236523,167275,4656,45349
Jan-22,AAR,OZ,아시아나항공,국제,HAN,출발,부정기,화물,0,0,0,680275,60231,0,0
Jan-22,AAR,OZ,아시아나항공,국제,HAN,출발,부정기,여객,262,0,0,6355,6087,0,7923
Jan-22,AAR,OZ,아시아나항공,국제,HKG,도착,정기,화물,0,0,0,3745547,2997802,0,0
Jan-22,AAR,OZ,아시아나항공,국제,HKG,도착,정기,여객,82,1,195,36531,9805,0,10207
Jan-22,AAR,OZ,아시아나항공,국제,HKG,도착,부정기,화물,0,0,0,865634,626497,0,0
Jan-22,AAR,OZ,아시아나항공,국제,HKG,출발,정기,화물,0,0,0,1457774,211891,14667,0
Jan-22,AAR,OZ,아시아나항공,국제,HKG,출발,정기,여객,102,2,70,23287,381,0,5135
Jan-22,AAR,OZ,아시아나항공,국제,HKG,출발,부정기,화물,0,0,0,173574,15984,0,0
Jan-22,AAR,OZ,아시아나항공,국제,HPH,출발,부정기,여객,285,0,0,0,0,0,7794
Jan-22,AAR,OZ,아시아나항공,국제,HRB,도착,정기,여객,201,0,66,4529,0,1927,6976
Jan-22,AAR,OZ,아시아나항공,국제,HRB,출발,정기,여객,345,1,2,0,0,0,8216
Jan-22,AAR,OZ,아시아나항공,국제,JFK,도착,정기,화물,0,0,0,16923,3649,0,0
Jan-22,AAR,OZ,아시아나항공,국제,JFK,도착,정기,여객,2349,21,1081,198805,66292,0,119622
Jan-22,AAR,OZ,아시아나항공,국제,JFK,출발,정기,화물,0,0,0,1183516,836107,992,0
Jan-22,AAR,OZ,아시아나항공,국제,JFK,출발,정기,여객,3023,21,507,235739,134465,51985,128121
Jan-22,AAR,OZ,아시아나항공,국제,KIX,도착,정기,화물,0,0,0,741994,455951,0,0
Jan-22,AAR,OZ,아시아나항공,국제,KIX,도착,정기,여객,629,17,233,15969,7237,0,19799
Jan-22,AAR,OZ,아시아나항공,국제,KIX,출발,정기,화물,0,0,0,554080,113408,23867,0
Jan-22,AAR,OZ,아시아나항공,국제,KIX,출발,정기,여객,532,8,402,7662,1560,1065,21206
Jan-22,AAR,OZ,아시아나항공,국제,LAS,도착,부정기,여객,192,0,0,0,0,0,2112
Jan-22,AAR,OZ,아시아나항공,국제,LAS,출발,부정기,여객,206,0,1,0,0,0,4073
Jan-22,AAR,OZ,아시아나항공,국제,LAX,도착,정기,화물,0,0,0,74294,24481,0,0
Jan-22,AAR,OZ,아시아나항공,국제,LAX,도착,정기,여객,4189,27,1822,257302,32815,0,204463
Jan-22,AAR,OZ,아시아나항공,국제,LAX,도착,부정기,화물,0,0,0,609996,54636,0,0
Jan-22,AAR,OZ,아시아나항공,국제,LAX,도착,부정기,여객,81,0,66,11847,0,0,5753
Jan-22,AAR,OZ,아시아나항공,국제,LAX,출발,정기,화물,0,0,0,1899967,1091092,2432,0
Jan-22,AAR,OZ,아시아나항공,국제,LAX,출발,정기,여객,3987,34,408,401117,276897,30066,149338
Jan-22,AAR,OZ,아시아나항공,국제,LAX,출발,부정기,화물,0,0,0,2065030,595602,1235,0
Jan-22,AAR,OZ,아시아나항공,국제,LAX,출발,부정기,여객,237,0,5,32253,31727,0,5202
Jan-22,AAR,OZ,아시아나항공,국제,LHR,도착,정기,여객,270,6,28,58908,10277,0,7814
Jan-22,AAR,OZ,아시아나항공,국제,LHR,도착,부정기,여객,27,1,6,7350,47,0,877
Jan-22,AAR,OZ,아시아나항공,국제,LHR,출발,정기,여객,409,7,41,52860,38891,9872,15214
Jan-22,AAR,OZ,아시아나항공,국제,LHR,출발,부정기,여객,104,0,6,0,0,0,3481
Jan-22,AAR,OZ,아시아나항공,국제,MNL,도착,정기,여객,1181,5,439,407078,91439,0,43852
Jan-22,AAR,OZ,아시아나항공,국제,MNL,출발,정기,여객,627,2,1018,380637,64819,5208,46610
Jan-22,AAR,OZ,아시아나항공,국제,MXP,도착,정기,화물,0,0,0,660381,43564,0,0
Jan-22,AAR,OZ,아시아나항공,국제,MXP,출발,정기,화물,0,0,0,375664,297776,0,0
Jan-22,AAR,OZ,아시아나항공,국제,NRT,도착,정기,화물,0,0,0,1045040,656695,13394,0
Jan-22,AAR,OZ,아시아나항공,국제,NRT,도착,정기,여객,997,22,337,13562,1865,7121,32889
Jan-22,AAR,OZ,아시아나항공,국제,NRT,도착,부정기,화물,0,0,0,66147,54637,948,0
Jan-22,AAR,OZ,아시아나항공,국제,NRT,출발,정기,화물,0,0,0,876665,177447,38843,0
Jan-22,AAR,OZ,아시아나항공,국제,NRT,출발,정기,여객,844,21,166,12015,638,1787,23186
Jan-22,AAR,OZ,아시아나항공,국제,NRT,출발,부정기,화물,0,0,0,35576,7838,0,0
Jan-22,AAR,OZ,아시아나항공,국제,ORD,도착,부정기,화물,0,0,0,391294,52171,0,0
Jan-22,AAR,OZ,아시아나항공,국제,ORD,출발,정기,화물,0,0,0,1214609,663810,3774,0
Jan-22,AAR,OZ,아시아나항공,국제,ORD,출발,부정기,화물,0,0,0,426815,205978,530,0
Jan-22,AAR,OZ,아시아나항공,국제,PNH,도착,정기,여객,1321,6,525,21112,6500,0,45091
Jan-22,AAR,OZ,아시아나항공,국제,PNH,출발,정기,여객,1261,49,2073,6046,1978,0,100595
Jan-22,AAR,OZ,아시아나항공,국제,PVG,도착,정기,화물,0,0,0,2380854,1786181,9444,0
Jan-22,AAR,OZ,아시아나항공,국제,PVG,출발,정기,화물,0,0,0,1941248,809242,0,0
Jan-22,AAR,OZ,아시아나항공,국제,SEA,도착,정기,화물,0,0,0,871167,301894,0,0
Jan-22,AAR,OZ,아시아나항공,국제,SEA,도착,정기,여객,674,7,592,41979,17887,0,45806
Jan-22,AAR,OZ,아시아나항공,국제,SEA,도착,부정기,화물,0,0,0,79117,13090,0,0
Jan-22,AAR,OZ,아시아나항공,국제,SEA,출발,정기,화물,0,0,0,21777,21777,0,0
Jan-22,AAR,OZ,아시아나항공,국제,SEA,출발,정기,여객,874,5,350,58932,49910,0,41404
Jan-22,AAR,OZ,아시아나항공,국제,SFO,도착,정기,화물,0,0,0,1396224,435091,0,0
Jan-22,AAR,OZ,아시아나항공,국제,SFO,도착,정기,여객,1497,12,563,137781,3863,0,66873
Jan-22,AAR,OZ,아시아나항공,국제,SFO,도착,부정기,화물,0,0,0,43805,4575,0,0
Jan-22,AAR,OZ,아시아나항공,국제,SFO,출발,정기,화물,0,0,0,304027,181852,4459,0
Jan-22,AAR,OZ,아시아나항공,국제,SFO,출발,정기,여객,1403,10,164,204008,74566,7894,51095
Jan-22,AAR,OZ,아시아나항공,국제,SFO,출발,부정기,화물,0,0,0,311589,0,0,0
Jan-22,AAR,OZ,아시아나항공,국제,SGN,도착,정기,화물,0,0,0,798253,137650,1257,0
Jan-22,AAR,OZ,아시아나항공,국제,SGN,도착,정기,여객,1002,8,205,365659,60609,0,37530
Jan-22,AAR,OZ,아시아나항공,국제,SGN,도착,부정기,화물,0,0,0,61038,1458,0,0
Jan-22,AAR,OZ,아시아나항공,국제,SGN,출발,정기,화물,0,0,0,178780,125478,0,0
Jan-22,AAR,OZ,아시아나항공,국제,SGN,출발,정기,여객,409,4,186,302129,84959,4679,19077
Jan-22,AAR,OZ,아시아나항공,국제,SGN,출발,부정기,화물,0,0,0,50136,15203,3846,0
Jan-22,AAR,OZ,아시아나항공,국제,SIN,도착,정기,화물,0,0,0,1038072,270384,438,0
Jan-22,AAR,OZ,아시아나항공,국제,SIN,도착,정기,여객,733,3,31,181821,6067,19950,15305
Jan-22,AAR,OZ,아시아나항공,국제,SIN,도착,부정기,화물,0,0,0,192351,0,0,0
Jan-22,AAR,OZ,아시아나항공,국제,SIN,도착,부정기,여객,333,0,6,93517,4153,12873,7339
Jan-22,AAR,OZ,아시아나항공,국제,SIN,출발,정기,화물,0,0,0,1098112,512643,0,0
Jan-22,AAR,OZ,아시아나항공,국제,SIN,출발,정기,여객,965,5,11,120730,13118,0,25710
Jan-22,AAR,OZ,아시아나항공,국제,SIN,출발,부정기,화물,0,0,0,142067,75136,0,0
Jan-22,AAR,OZ,아시아나항공,국제,SIN,출발,부정기,여객,648,2,10,94791,56602,0,16788
Jan-22,AAR,OZ,아시아나항공,국제,SPN,도착,정기,여객,541,2,25,207,0,0,12072
Jan-22,AAR,OZ,아시아나항공,국제,SPN,도착,부정기,여객,454,1,9,0,0,0,10765
Jan-22,AAR,OZ,아시아나항공,국제,SPN,출발,정기,여객,603,0,17,748,0,0,14538
Jan-22,AAR,OZ,아시아나항공,국제,SPN,출발,부정기,여객,439,0,16,732,0,0,9061
Jan-22,AAR,OZ,아시아나항공,국제,STN,출발,정기,화물,0,0,0,342452,294402,12117,0
Jan-22,AAR,OZ,아시아나항공,국제,SYD,도착,정기,여객,693,22,53,38746,1378,0,17635
Jan-22,AAR,OZ,아시아나항공,국제,SYD,도착,부정기,여객,202,6,19,8358,2411,0,5354
Jan-22,AAR,OZ,아시아나항공,국제,SYD,출발,정기,여객,821,14,49,36270,1385,0,23799
Jan-22,AAR,OZ,아시아나항공,국제,SYD,출발,부정기,여객,232,3,26,11476,0,0,7237
Jan-22,AAR,OZ,아시아나항공,국제,TAO,도착,부정기,화물,0,0,0,211189,170564,53,0
Jan-22,AAR,OZ,아시아나항공,국제,TAO,출발,부정기,화물,0,0,0,144701,55559,5578,0
Jan-22,AAR,OZ,아시아나항공,국제,TAS,도착,정기,여객,474,2,41,2360,50,0,18789
Jan-22,AAR,OZ,아시아나항공,국제,TAS,출발,정기,여객,806,3,52,12369,6688,0,44444
Jan-22,AAR,OZ,아시아나항공,국제,TPE,도착,정기,여객,364,4,236,245457,84564,0,18396
Jan-22,AAR,OZ,아시아나항공,국제,TPE,도착,부정기,화물,0,0,0,166593,63048,0,0
Jan-22,AAR,OZ,아시아나항공,국제,TPE,출발,정기,여객,261,8,59,238401,9883,0,9254
Jan-22,AAR,OZ,아시아나항공,국제,TPE,출발,부정기,화물,0,0,0,211527,2112,0,0
Jan-22,AAR,OZ,아시아나항공,국제,TSN,도착,정기,화물,0,0,0,1065459,758051,5539,0
Jan-22,AAR,OZ,아시아나항공,국제,TSN,출발,정기,화물,0,0,0,1084704,752474,0,0
Jan-22,AAR,OZ,아시아나항공,국제,UBN,도착,정기,여객,285,6,70,25694,4780,0,8932
Jan-22,AAR,OZ,아시아나항공,국제,UBN,출발,정기,여객,165,13,102,46255,2519,0,9831
Jan-22,AAR,OZ,아시아나항공,국제,VIE,출발,정기,화물,0,0,0,1296785,583195,0,0
Jan-22,AAR,OZ,아시아나항공,국제,YNT,도착,정기,화물,0,0,0,353191,268046,0,0
Jan-22,AAR,OZ,아시아나항공,국제,YNT,도착,부정기,화물,0,0,0,514384,424670,316,0
Jan-22,AAR,OZ,아시아나항공,국제,YNT,출발,정기,화물,0,0,0,190903,53634,0,0
Jan-22,AAR,OZ,아시아나항공,국제,YNT,출발,부정기,화물,0,0,0,191080,40720,0,0
Jan-22,ABW,RU,에어브릿지 화물항공,국제,DME,도착,정기,화물,0,0,0,316381,0,0,0
Jan-22,ABW,RU,에어브릿지 화물항공,국제,HKG,출발,정기,화물,0,0,0,597461,0,0,0
Jan-22,ABW,RU,에어브릿지 화물항공,국제,KJA,도착,부정기,화물,0,0,0,134417,0,0,0
Jan-22,ABW,RU,에어브릿지 화물항공,국제,KJA,출발,부정기,화물,0,0,0,74368,0,0,0
Jan-22,ABW,RU,에어브릿지 화물항공,국제,NRT,도착,정기,화물,0,0,0,529280,25886,0,0
Jan-22,ABW,RU,에어브릿지 화물항공,국제,SVO,도착,정기,화물,0,0,0,1075529,0,7452,0
Jan-22,ABW,RU,에어브릿지 화물항공,국제,SVO,출발,정기,화물,0,0,0,789629,0,5373,0
Jan-22,ABW,RU,에어브릿지 화물항공,국제,SVO,출발,부정기,화물,0,0,0,86428,23883,0,0
Jan-22,ACA,AC,캐나다항공,국제,YUL,출발,부정기,화물,0,0,0,38930,0,0,0
Jan-22,ACA,AC,캐나다항공,국제,YVR,도착,정기,여객,1505,13,417,102860,0,0,67872
Jan-22,ACA,AC,캐나다항공,국제,YVR,도착,부정기,화물,0,0,0,49994,0,0,0
Jan-22,ACA,AC,캐나다항공,국제,YVR,도착,부정기,여객,231,4,116,21940,0,0,12579
Jan-22,ACA,AC,캐나다항공,국제,YVR,출발,정기,여객,1752,16,278,133720,0,9293,77154
Jan-22,ACA,AC,캐나다항공,국제,YVR,출발,부정기,화물,0,0,0,55086,0,0,0
Jan-22,ACA,AC,캐나다항공,국제,YVR,출발,부정기,여객,698,4,120,44805,0,6199,32319
Jan-22,ACA,AC,캐나다항공,국제,YYZ,도착,정기,여객,1416,23,496,97887,0,0,68397
Jan-22,ACA,AC,캐나다항공,국제,YYZ,도착,부정기,화물,0,0,0,71869,0,0,0
Jan-22,ACA,AC,캐나다항공,국제,YYZ,출발,정기,여객,1777,12,881,149110,0,11552,106764
Jan-22,ACA,AC,캐나다항공,국제,YYZ,출발,부정기,화물,0,0,0,242657,0,5432,0
Jan-22,ACA,AC,캐나다항공,국제,YYZ,출발,부정기,여객,95,0,14,0,0,0,4032
Jan-22,ADB,ADB,안토노프항공,국제,ANC,출발,부정기,화물,0,0,0,49293,0,0,0
Jan-22,ADB,ADB,안토노프항공,국제,NGO,출발,부정기,화물,0,0,0,128101,0,0,0
Jan-22,AFL,SU,에어로플로트항공,국제,SVO,도착,정기,여객,892,9,37,46168,0,5795,18331
Jan-22,AFL,SU,에어로플로트항공,국제,SVO,출발,정기,여객,750,7,57,92828,0,16182,22188
Jan-22,AFR,AF,프랑스항공,국제,CDG,도착,정기,여객,1357,11,26,279660,0,12579,34684
Jan-22,AFR,AF,프랑스항공,국제,CDG,출발,정기,여객,1754,14,12,362452,0,9211,48965
Jan-22,AHK,LD,에어홍콩,국제,HKG,도착,정기,화물,0,0,0,859858,0,0,0
Jan-22,AHK,LD,에어홍콩,국제,HKG,출발,정기,화물,0,0,0,945019,0,0,0
Jan-22,AIH,KJ,에어인천,국제,CGO,도착,정기,화물,0,0,0,56353,0,5840,0
Jan-22,AIH,KJ,에어인천,국제,CGO,도착,부정기,화물,0,0,0,49716,1280,3187,0
Jan-22,AIH,KJ,에어인천,국제,CGO,출발,정기,화물,0,0,0,35031,0,0,0
Jan-22,AIH,KJ,에어인천,국제,CGO,출발,부정기,화물,0,0,0,31334,0,0,0
Jan-22,AIH,KJ,에어인천,국제,CKG,도착,부정기,화물,0,0,0,66885,0,0,0
Jan-22,AIH,KJ,에어인천,국제,CKG,출발,부정기,화물,0,0,0,67073,0,0,0
Jan-22,AIH,KJ,에어인천,국제,CTU,도착,정기,화물,0,0,0,151720,3748,0,0
Jan-22,AIH,KJ,에어인천,국제,CTU,도착,부정기,화물,0,0,0,67444,0,0,0
Jan-22,AIH,KJ,에어인천,국제,CTU,출발,정기,화물,0,0,0,134532,0,0,0
Jan-22,AIH,KJ,에어인천,국제,CTU,출발,부정기,화물,0,0,0,72552,0,0,0
Jan-22,AIH,KJ,에어인천,국제,HAN,도착,정기,화물,0,0,0,289190,0,0,0
Jan-22,AIH,KJ,에어인천,국제,HAN,출발,정기,화물,0,0,0,295429,0,0,0
Jan-22,AIH,KJ,에어인천,국제,HFE,도착,부정기,화물,0,0,0,20686,0,0,0
Jan-22,AIH,KJ,에어인천,국제,HFE,출발,부정기,화물,0,0,0,10493,0,0,0
Jan-22,AIH,KJ,에어인천,국제,NRT,도착,정기,화물,0,0,0,114482,0,0,0
Jan-22,AIH,KJ,에어인천,국제,NRT,출발,정기,화물,0,0,0,123300,2573,3951,0
Jan-22,AIH,KJ,에어인천,국제,SGN,도착,정기,화물,0,0,0,177212,0,499,0
Jan-22,AIH,KJ,에어인천,국제,SGN,출발,정기,화물,0,0,0,148121,0,27583,0
Jan-22,AIH,KJ,에어인천,국제,TAO,도착,정기,화물,0,0,0,5308,0,838,0
Jan-22,AIH,KJ,에어인천,국제,TAO,출발,정기,화물,0,0,0,34791,0,0,0
Jan-22,AIH,KJ,에어인천,국제,UBN,도착,부정기,화물,0,0,0,25994,0,0,0
Jan-22,AIH,KJ,에어인천,국제,UBN,출발,부정기,화물,0,0,0,198360,0,0,0
Jan-22,AIH,KJ,에어인천,국제,XIY,도착,부정기,화물,0,0,0,134148,0,0,0
Jan-22,AIH,KJ,에어인천,국제,XIY,출발,부정기,화물,0,0,0,146481,0,0,0
Jan-22,AIH,KJ,에어인천,국제,YNT,도착,정기,화물,0,0,0,343177,0,0,0
Jan-22,AIH,KJ,에어인천,국제,YNT,출발,정기,화물,0,0,0,468223,0,0,0
Jan-22,ALK,UL,스리랑칸 에어라인즈,국제,CMB,도착,부정기,여객,560,0,3,52112,0,2816,14523
Jan-22,ALK,UL,스리랑칸 에어라인즈,국제,CMB,출발,부정기,여객,451,3,6,49475,0,723,17312
Jan-22,AMX,AM,AEROMEXICO,국제,MEX,도착,정기,여객,1061,9,16,25504,0,0,30706
Jan-22,AMX,AM,AEROMEXICO,국제,MEX,출발,정기,여객,971,17,85,89371,0,0,36435
Jan-22,AMX,AM,AEROMEXICO,국제,MEX,출발,부정기,여객,136,1,7,7174,0,0,5914
Jan-22,ANA,NH,전일본항공,국제,NRT,도착,정기,화물,0,0,0,694523,6627,113686,0
Jan-22,ANA,NH,전일본항공,국제,NRT,출발,정기,화물,0,0,0,847522,0,75024,0
Jan-22,ANZ,NZ,AIR NEW ZEALAND,국제,AKL,도착,정기,여객,82,3,0,15068,0,215,2721
Jan-22,ANZ,NZ,AIR NEW ZEALAND,국제,AKL,도착,부정기,화물,0,0,0,107884,0,305,0
Jan-22,ANZ,NZ,AIR NEW ZEALAND,국제,AKL,출발,정기,여객,24,0,0,14845,0,674,723
Jan-22,ANZ,NZ,AIR NEW ZEALAND,국제,AKL,출발,부정기,화물,0,0,0,129978,0,4906,0
Jan-22,APZ,YP,에어 프레미아,국제,ICN,도착,부정기,여객,263,0,0,0,0,0,0
Jan-22,APZ,YP,에어 프레미아,국제,ICN,출발,부정기,여객,263,0,0,0,0,0,0
Jan-22,APZ,YP,에어 프레미아,국제,SGN,도착,부정기,화물,0,0,0,106715,0,0,0
Jan-22,APZ,YP,에어 프레미아,국제,SGN,출발,부정기,화물,0,0,0,54426,0,0,0
Jan-22,APZ,YP,에어 프레미아,국제,SIN,도착,부정기,화물,0,0,0,69140,0,23374,0
Jan-22,APZ,YP,에어 프레미아,국제,SIN,출발,부정기,화물,0,0,0,50874,0,0,0
Jan-22,ASV,RS,에어서울,국제,TAO,도착,정기,여객,450,0,26,0,0,0,9355
Jan-22,ASV,RS,에어서울,국제,TAO,출발,정기,여객,447,2,2,0,0,0,9706
Jan-22,ASV,RS,에어서울,국제,YNT,도착,정기,여객,244,0,0,297,0,0,4941
Jan-22,ASV,RS,에어서울,국제,YNT,출발,정기,여객,243,1,0,2154,0,0,5864
Jan-22,AZG,7L,실크웨이웨스트항공,국제,GYD,도착,정기,화물,0,0,0,509281,0,0,0
Jan-22,AZG,7L,실크웨이웨스트항공,국제,GYD,도착,부정기,화물,0,0,0,151116,0,0,0
Jan-22,AZG,7L,실크웨이웨스트항공,국제,GYD,출발,정기,화물,0,0,0,975185,0,3546,0
Jan-22,AZG,7L,실크웨이웨스트항공,국제,GYD,출발,부정기,화물,0,0,0,178931,0,0,0
Jan-22,AZG,7L,실크웨이웨스트항공,국제,KIX,도착,정기,화물,0,0,0,43705,0,0,0
Jan-22,BAV,QH,뱀부항공,국제,CXR,출발,부정기,여객,199,8,380,0,0,0,19092
Jan-22,BAV,QH,뱀부항공,국제,DAD,출발,부정기,여객,8,0,311,0,0,0,12662
Jan-22,BAV,QH,뱀부항공,국제,HAN,도착,부정기,화물,0,0,0,315986,1540,20263,0
Jan-22,BAV,QH,뱀부항공,국제,HAN,도착,부정기,여객,0,0,0,1690,0,1690,0
Jan-22,BAV,QH,뱀부항공,국제,HAN,출발,부정기,화물,0,0,0,286136,0,4471,0
Jan-22,BAV,QH,뱀부항공,국제,HAN,출발,부정기,여객,1902,98,57,0,0,0,52984
Jan-22,BAV,QH,뱀부항공,국제,SGN,도착,부정기,화물,0,0,0,83007,0,0,0
Jan-22,BAV,QH,뱀부항공,국제,SGN,도착,부정기,여객,0,0,0,33722,0,0,0
Jan-22,BAV,QH,뱀부항공,국제,SGN,출발,부정기,화물,0,0,0,17411,0,0,0
Jan-22,BAV,QH,뱀부항공,국제,SGN,출발,부정기,여객,606,16,625,8524,0,0,45649
Jan-22,BAV,QH,뱀부항공,국제,VII,출발,부정기,여객,204,13,0,0,0,0,5607
Jan-22,BOX,3S,에어로로직,국제,HKG,출발,정기,화물,0,0,0,60702,0,0,0
Jan-22,BOX,3S,에어로로직,국제,LEJ,도착,정기,화물,0,0,0,1619461,0,0,0
Jan-22,BOX,3S,에어로로직,국제,LEJ,도착,부정기,화물,0,0,0,63277,0,0,0
Jan-22,BOX,3S,에어로로직,국제,LEJ,출발,정기,화물,0,0,0,60944,0,0,0
Jan-22,CAL,CI,중화항공,국제,TPE,도착,부정기,화물,0,0,0,753517,0,96429,0
Jan-22,CAL,CI,중화항공,국제,TPE,출발,부정기,화물,0,0,0,689662,0,12440,0
Jan-22,CAL,CI,중화항공,국제,TPE,출발,부정기,여객,46,5,6,59039,0,0,1322
Jan-22,CCA,CA,중국국제항공,국제,HGH,도착,정기,여객,343,2,6,21,0,0,8761
Jan-22,CCA,CA,중국국제항공,국제,HGH,출발,정기,여객,376,1,0,0,0,0,11636
