년월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,공항,도착_출발,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),직화물(kg),환적화물(kg),우편물(kg),수하물(kg)
Jan-24,AAR,OZ,아시아나항공,국제,NGO,도착,부정기,여객,106,0,0,0,0,0,1139
Jan-24,AAR,OZ,아시아나항공,국제,NGO,출발,정기,여객,7231,29,910,13717,3054,8425,96475
Jan-24,AAR,OZ,아시아나항공,국제,NGO,출발,부정기,여객,111,0,0,0,0,0,1341
Jan-24,AAR,OZ,아시아나항공,국제,NKG,도착,정기,여객,2010,5,562,16171,13324,0,40226
Jan-24,AAR,OZ,아시아나항공,국제,NKG,출발,정기,여객,2392,9,272,1411,94,147,37280
Jan-24,AAR,OZ,아시아나항공,국제,NRT,도착,정기,화물,0,0,0,389168,140730,0,0
Jan-24,AAR,OZ,아시아나항공,국제,NRT,도착,정기,여객,26904,86,3798,589585,67750,42678,419928
Jan-24,AAR,OZ,아시아나항공,국제,NRT,출발,정기,화물,0,0,0,264425,138753,40021,0
Jan-24,AAR,OZ,아시아나항공,국제,NRT,출발,정기,여객,27756,85,3388,790462,226459,143551,386507
Jan-24,AAR,OZ,아시아나항공,국제,OKA,도착,정기,여객,7966,149,245,4259,4239,0,101583
Jan-24,AAR,OZ,아시아나항공,국제,OKA,출발,정기,여객,8310,152,276,8519,5914,0,94574
Jan-24,AAR,OZ,아시아나항공,국제,ORD,도착,부정기,화물,0,0,0,292015,72049,0,0
Jan-24,AAR,OZ,아시아나항공,국제,ORD,출발,정기,화물,0,0,0,1999654,1484039,7629,0
Jan-24,AAR,OZ,아시아나항공,국제,ORD,출발,부정기,화물,0,0,0,406769,376547,0,0
Jan-24,AAR,OZ,아시아나항공,국제,PEK,도착,정기,여객,4590,6,3963,49745,34994,6770,156591
Jan-24,AAR,OZ,아시아나항공,국제,PEK,출발,정기,여객,4854,21,1766,26106,7189,3095,95641
Jan-24,AAR,OZ,아시아나항공,국제,PNH,도착,정기,여객,3598,20,1130,20398,5146,0,87420
Jan-24,AAR,OZ,아시아나항공,국제,PNH,출발,정기,여객,4144,39,1052,2896,249,0,106212
Jan-24,AAR,OZ,아시아나항공,국제,PVG,도착,정기,화물,0,0,0,2435655,1815959,4515,0
Jan-24,AAR,OZ,아시아나항공,국제,PVG,도착,정기,여객,7601,13,5159,225864,134544,4085,211340
Jan-24,AAR,OZ,아시아나항공,국제,PVG,도착,부정기,화물,0,0,0,86987,60709,0,0
Jan-24,AAR,OZ,아시아나항공,국제,PVG,출발,정기,화물,0,0,0,1729334,742557,0,0
Jan-24,AAR,OZ,아시아나항공,국제,PVG,출발,정기,여객,7899,19,3754,148101,65805,762,155235
Jan-24,AAR,OZ,아시아나항공,국제,PVG,출발,부정기,화물,0,0,0,29407,1074,0,0
Jan-24,AAR,OZ,아시아나항공,국제,RMQ,도착,부정기,여객,1447,3,0,0,0,0,16431
Jan-24,AAR,OZ,아시아나항공,국제,RMQ,출발,부정기,여객,1465,2,0,0,0,0,13925
Jan-24,AAR,OZ,아시아나항공,국제,SDJ,도착,정기,여객,2742,13,353,14,0,0,43111
