년도,월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,노선,국가,공항,도착_출발,정기_부정기,여객_화물,운항(편),유임승객(명),무임승객(명),환승객(명),직화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2025,01,AAR,OZ,아시아나항공,국제,동남아,캄보디아,SAI,도착,부정기,여객,31,5301,0,0,0,0,0,54783
2025,01,AAR,OZ,아시아나항공,국제,동남아,캄보디아,SAI,출발,부정기,여객,31,5311,0,0,0,0,0,48878
2025,01,AAR,OZ,아시아나항공,국제,동남아,태국,BKK,도착,정기,여객,62,20065,57,2399,418391,62558,0,414275
2025,01,AAR,OZ,아시아나항공,국제,동남아,태국,BKK,도착,부정기,여객,18,3045,3,0,0,0,0,41881
2025,01,AAR,OZ,아시아나항공,국제,동남아,태국,BKK,출발,정기,화물,0,0,0,0,89915,86637,0,0
2025,01,AAR,OZ,아시아나항공,국제,동남아,태국,BKK,출발,정기,여객,62,20571,71,2810,289180,75217,13000,434210
2025,01,AAR,OZ,아시아나항공,국제,동남아,태국,BKK,출발,부정기,여객,18,3058,3,0,349,30,0,36250
2025,01,AAR,OZ,아시아나항공,국제,동남아,태국,CNX,도착,정기,여객,29,7086,12,778,3520,0,0,134889
2025,01,AAR,OZ,아시아나항공,국제,동남아,태국,CNX,도착,부정기,여객,1,250,0,0,250,0,0,4075
2025,01,AAR,OZ,아시아나항공,국제,동남아,태국,CNX,출발,정기,여객,31,7899,14,768,30,390,0,138422
2025,01,AAR,OZ,아시아나항공,국제,동남아,필리핀,CEB,도착,정기,여객,31,4326,49,1182,2837,3840,0,83218
2025,01,AAR,OZ,아시아나항공,국제,동남아,필리핀,CEB,출발,정기,여객,31,4946,41,701,67,45,0,88090
2025,01,AAR,OZ,아시아나항공,국제,동남아,필리핀,CRK,도착,정기,여객,31,3433,7,1098,0,0,0,101642
2025,01,AAR,OZ,아시아나항공,국제,동남아,필리핀,CRK,출발,정기,여객,31,4072,4,1251,250,0,0,126185
2025,01,AAR,OZ,아시아나항공,국제,동남아,필리핀,MNL,도착,정기,여객,62,8994,29,7061,167564,54711,0,364250
2025,01,AAR,OZ,아시아나항공,국제,동남아,필리핀,MNL,출발,정기,여객,62,10160,77,7744,219291,136546,0,478323
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,ANC,도착,정기,화물,0,0,0,0,81062,38571,0,0
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,ANC,출발,정기,화물,0,0,0,0,426,0,0,0
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,ATL,도착,정기,화물,13,0,0,0,161008,311770,0,0
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,ATL,출발,정기,화물,13,0,0,0,86426,154592,0,0
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,DFW,도착,부정기,화물,1,0,0,0,43135,0,0,0
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,DFW,출발,정기,화물,0,0,0,0,158554,323915,0,0
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,DFW,출발,부정기,화물,1,0,0,0,0,95731,0,0
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,JFK,도착,정기,여객,31,3471,12,4846,10331,0,0,266913
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,JFK,출발,정기,화물,0,0,0,0,201594,914400,2296,0
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,JFK,출발,정기,여객,31,4655,12,4622,21497,109473,30178,257353
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,LAS,도착,부정기,여객,8,1142,1,4,0,0,0,20007
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,LAS,출발,부정기,여객,8,1449,1,236,0,0,0,29069
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,LAX,도착,정기,화물,3,0,0,0,21728,5302,0,0
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,LAX,도착,정기,여객,62,10634,58,11262,159485,9469,0,629526
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,LAX,출발,정기,화물,3,0,0,0,621340,1664671,448,0
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,LAX,출발,정기,여객,62,12542,41,11993,155117,148183,15706,603251
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,ORD,도착,부정기,화물,8,0,0,0,156899,36851,0,0
2025,01,AAR,OZ,아시아나항공,국제,미주,미국,ORD,출발,정기,화물,0,0,0,0,474710,1456071,9026,0
